Epoch 2 Metrics: {'loss': 0.1603, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.864450127877238}
Epoch 2 Metrics: {'loss': 0.2272, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.89002557544757}
Epoch 2 Metrics: {'loss': 0.2055, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.915601023017903}
Epoch 2 Metrics: {'loss': 0.2164, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9411764705882355}
Epoch 2 Metrics: {'loss': 0.1931, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9667519181585678}
Epoch 2 Metrics: {'loss': 0.2264, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9923273657289}
Epoch 3 Metrics: {'eval_loss': 0.20687560737133026, 'eval_accuracy': 0.91728, 'eval_precision': 0.9173035986854271, 'eval_recall': 0.91728, 'eval_f1': 0.9172788305211944, 'eval_runtime': 196.604, 'eval_samples_per_second': 127.159, 'eval_steps_per_second': 0.997, 'epoch': 3.0}
Epoch 3 Metrics: {'train_runtime': 1580.0489, 'train_samples_per_second': 47.467, 'train_steps_per_second': 0.742, 'total_flos': 1.01057572343736e+16, 'train_loss': 0.22128679685275573, 'epoch': 3.0}
Epoch 0 Metrics: {'loss': 0.7559, 'grad_norm': 0.0, 'learning_rate': 0.0004914748508098892, 'epoch': 0.02557544757033248}
Epoch 0 Metrics: {'loss': 0.4733, 'grad_norm': 0.0, 'learning_rate': 0.0004829497016197784, 'epoch': 0.05115089514066496}
Epoch 0 Metrics: {'loss': 0.3017, 'grad_norm': 0.0, 'learning_rate': 0.00047442455242966753, 'epoch': 0.07672634271099744}
Epoch 0 Metrics: {'loss': 0.3485, 'grad_norm': 0.0, 'learning_rate': 0.0004658994032395567, 'epoch': 0.10230179028132992}
Epoch 0 Metrics: {'loss': 0.3103, 'grad_norm': 0.0, 'learning_rate': 0.0004573742540494459, 'epoch': 0.1278772378516624}
Epoch 0 Metrics: {'loss': 0.2874, 'grad_norm': 0.0, 'learning_rate': 0.00044884910485933505, 'epoch': 0.1534526854219949}
Epoch 0 Metrics: {'loss': 0.3018, 'grad_norm': 0.0, 'learning_rate': 0.0004403239556692242, 'epoch': 0.17902813299232737}
Epoch 0 Metrics: {'loss': 0.2932, 'grad_norm': 0.0, 'learning_rate': 0.0004317988064791134, 'epoch': 0.20460358056265984}
Epoch 0 Metrics: {'loss': 0.2431, 'grad_norm': 0.0, 'learning_rate': 0.0004232736572890026, 'epoch': 0.23017902813299232}
Epoch 0 Metrics: {'loss': 0.2456, 'grad_norm': 0.0, 'learning_rate': 0.00041474850809889173, 'epoch': 0.2557544757033248}
Epoch 0 Metrics: {'loss': 0.2447, 'grad_norm': 0.0, 'learning_rate': 0.00040622335890878094, 'epoch': 0.2813299232736573}
Epoch 0 Metrics: {'loss': 0.2625, 'grad_norm': 0.0, 'learning_rate': 0.0003976982097186701, 'epoch': 0.3069053708439898}
Epoch 0 Metrics: {'loss': 0.2457, 'grad_norm': 0.0, 'learning_rate': 0.00038917306052855925, 'epoch': 0.33248081841432225}
Epoch 0 Metrics: {'loss': 0.2347, 'grad_norm': 0.0, 'learning_rate': 0.00038064791133844846, 'epoch': 0.35805626598465473}
Epoch 0 Metrics: {'loss': 0.2689, 'grad_norm': 0.0, 'learning_rate': 0.0003721227621483376, 'epoch': 0.3836317135549872}
Epoch 0 Metrics: {'loss': 0.2486, 'grad_norm': 0.0, 'learning_rate': 0.0003635976129582268, 'epoch': 0.4092071611253197}
Epoch 0 Metrics: {'loss': 0.2612, 'grad_norm': 0.0, 'learning_rate': 0.000355072463768116, 'epoch': 0.43478260869565216}
Epoch 0 Metrics: {'loss': 0.2526, 'grad_norm': 0.0, 'learning_rate': 0.00034654731457800514, 'epoch': 0.46035805626598464}
Epoch 0 Metrics: {'loss': 0.24, 'grad_norm': 0.0, 'learning_rate': 0.0003380221653878943, 'epoch': 0.4859335038363171}
Epoch 0 Metrics: {'loss': 0.2192, 'grad_norm': 0.0, 'learning_rate': 0.0003294970161977835, 'epoch': 0.5115089514066496}
Epoch 0 Metrics: {'loss': 0.2382, 'grad_norm': 0.0, 'learning_rate': 0.0003209718670076726, 'epoch': 0.5370843989769821}
Epoch 0 Metrics: {'loss': 0.253, 'grad_norm': 0.0, 'learning_rate': 0.00031244671781756176, 'epoch': 0.5626598465473146}
Epoch 0 Metrics: {'loss': 0.2717, 'grad_norm': 0.0, 'learning_rate': 0.00030392156862745097, 'epoch': 0.5882352941176471}
Epoch 0 Metrics: {'loss': 0.252, 'grad_norm': 0.0, 'learning_rate': 0.00029539641943734013, 'epoch': 0.6138107416879796}
Epoch 0 Metrics: {'loss': 0.231, 'grad_norm': 0.0, 'learning_rate': 0.0002868712702472293, 'epoch': 0.639386189258312}
Epoch 0 Metrics: {'loss': 0.241, 'grad_norm': 0.0, 'learning_rate': 0.0002783461210571185, 'epoch': 0.6649616368286445}
Epoch 0 Metrics: {'loss': 0.2228, 'grad_norm': 0.0, 'learning_rate': 0.00026982097186700765, 'epoch': 0.690537084398977}
Epoch 0 Metrics: {'loss': 0.2201, 'grad_norm': 0.0, 'learning_rate': 0.00026129582267689686, 'epoch': 0.7161125319693095}
Epoch 0 Metrics: {'loss': 0.2789, 'grad_norm': 0.0, 'learning_rate': 0.000252770673486786, 'epoch': 0.7416879795396419}
Epoch 0 Metrics: {'loss': 0.2536, 'grad_norm': 0.0, 'learning_rate': 0.0002442455242966752, 'epoch': 0.7672634271099744}
Epoch 0 Metrics: {'loss': 0.2229, 'grad_norm': 0.0, 'learning_rate': 0.00023572037510656438, 'epoch': 0.7928388746803069}
Epoch 0 Metrics: {'loss': 0.2408, 'grad_norm': 0.0, 'learning_rate': 0.00022719522591645354, 'epoch': 0.8184143222506394}
Epoch 0 Metrics: {'loss': 0.2104, 'grad_norm': 0.0, 'learning_rate': 0.0002186700767263427, 'epoch': 0.8439897698209718}
Epoch 0 Metrics: {'loss': 0.2402, 'grad_norm': 0.0, 'learning_rate': 0.00021014492753623187, 'epoch': 0.8695652173913043}
Epoch 0 Metrics: {'loss': 0.2189, 'grad_norm': 0.0, 'learning_rate': 0.00020161977834612106, 'epoch': 0.8951406649616368}
Epoch 0 Metrics: {'loss': 0.2461, 'grad_norm': 0.0, 'learning_rate': 0.0001930946291560102, 'epoch': 0.9207161125319693}
Epoch 0 Metrics: {'loss': 0.2065, 'grad_norm': 0.0, 'learning_rate': 0.0001845694799658994, 'epoch': 0.9462915601023018}
Epoch 0 Metrics: {'loss': 0.2219, 'grad_norm': 0.0, 'learning_rate': 0.00017604433077578858, 'epoch': 0.9718670076726342}
Epoch 0 Metrics: {'loss': 0.2193, 'grad_norm': 0.0, 'learning_rate': 0.00016751918158567776, 'epoch': 0.9974424552429667}
