Epoch 1 Metrics: {'loss': 0.1979, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7135549872122762}
Epoch 1 Metrics: {'loss': 0.2092, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7391304347826086}
Epoch 1 Metrics: {'loss': 0.2096, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7647058823529411}
Epoch 1 Metrics: {'loss': 0.2136, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7902813299232738}
Epoch 1 Metrics: {'loss': 0.1971, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.815856777493606}
Epoch 1 Metrics: {'loss': 0.1866, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.8414322250639388}
Epoch 1 Metrics: {'loss': 0.2062, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.867007672634271}
Epoch 1 Metrics: {'loss': 0.2285, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.8925831202046037}
Epoch 1 Metrics: {'loss': 0.2093, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.918158567774936}
Epoch 1 Metrics: {'loss': 0.2113, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.9437340153452687}
Epoch 1 Metrics: {'loss': 0.1962, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.969309462915601}
Epoch 1 Metrics: {'loss': 0.2492, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.9948849104859336}
Epoch 2 Metrics: {'eval_loss': 0.21980449557304382, 'eval_accuracy': 0.91168, 'eval_precision': 0.9117245321253946, 'eval_recall': 0.91168, 'eval_f1': 0.911677611762622, 'eval_runtime': 193.3755, 'eval_samples_per_second': 129.282, 'eval_steps_per_second': 1.014, 'epoch': 2.0}
Epoch 2 Metrics: {'loss': 0.2078, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.020460358056266}
Epoch 2 Metrics: {'loss': 0.1774, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.0460358056265986}
Epoch 2 Metrics: {'loss': 0.1837, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.071611253196931}
Epoch 2 Metrics: {'loss': 0.2176, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.0971867007672635}
Epoch 2 Metrics: {'loss': 0.1853, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.122762148337596}
Epoch 2 Metrics: {'loss': 0.2019, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.1483375959079285}
Epoch 2 Metrics: {'loss': 0.192, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.1739130434782608}
Epoch 2 Metrics: {'loss': 0.221, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.1994884910485935}
Epoch 2 Metrics: {'loss': 0.1872, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.2250639386189257}
Epoch 2 Metrics: {'loss': 0.19, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.2506393861892584}
Epoch 2 Metrics: {'loss': 0.2389, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.2762148337595907}
Epoch 2 Metrics: {'loss': 0.2192, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3017902813299234}
Epoch 2 Metrics: {'loss': 0.2664, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3273657289002556}
Epoch 2 Metrics: {'loss': 0.1744, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3529411764705883}
Epoch 2 Metrics: {'loss': 0.1978, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3785166240409206}
Epoch 2 Metrics: {'loss': 0.1746, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.4040920716112533}
Epoch 2 Metrics: {'loss': 0.1818, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.4296675191815855}
Epoch 2 Metrics: {'loss': 0.1808, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.455242966751918}
Epoch 2 Metrics: {'loss': 0.2385, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.4808184143222505}
Epoch 2 Metrics: {'loss': 0.2088, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.506393861892583}
Epoch 2 Metrics: {'loss': 0.213, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.531969309462916}
Epoch 2 Metrics: {'loss': 0.2115, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.557544757033248}
Epoch 2 Metrics: {'loss': 0.2139, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.5831202046035804}
Epoch 2 Metrics: {'loss': 0.2088, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.608695652173913}
Epoch 2 Metrics: {'loss': 0.2199, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.634271099744246}
Epoch 2 Metrics: {'loss': 0.2003, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.659846547314578}
Epoch 2 Metrics: {'loss': 0.2217, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.6854219948849103}
Epoch 2 Metrics: {'loss': 0.1801, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.710997442455243}
Epoch 2 Metrics: {'loss': 0.1564, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.7365728900255757}
Epoch 2 Metrics: {'loss': 0.1789, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.762148337595908}
Epoch 2 Metrics: {'loss': 0.2205, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.78772378516624}
Epoch 2 Metrics: {'loss': 0.2012, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.813299232736573}
Epoch 2 Metrics: {'loss': 0.2431, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.8388746803069056}
Epoch 2 Metrics: {'loss': 0.177, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.864450127877238}
Epoch 2 Metrics: {'loss': 0.2299, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.89002557544757}
Epoch 2 Metrics: {'loss': 0.2137, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.915601023017903}
Epoch 2 Metrics: {'loss': 0.222, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9411764705882355}
Epoch 2 Metrics: {'loss': 0.2184, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9667519181585678}
Epoch 2 Metrics: {'loss': 0.2305, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9923273657289}
Epoch 3 Metrics: {'eval_loss': 0.21980449557304382, 'eval_accuracy': 0.91168, 'eval_precision': 0.9117245321253946, 'eval_recall': 0.91168, 'eval_f1': 0.911677611762622, 'eval_runtime': 193.2645, 'eval_samples_per_second': 129.356, 'eval_steps_per_second': 1.014, 'epoch': 3.0}
Epoch 3 Metrics: {'train_runtime': 1544.4439, 'train_samples_per_second': 48.561, 'train_steps_per_second': 0.759, 'total_flos': 1.0074968581932e+16, 'train_loss': 0.23996593656442355, 'epoch': 3.0}
Epoch 0 Metrics: {'loss': 1.2205, 'grad_norm': 0.0, 'learning_rate': 0.0068806479113384484, 'epoch': 0.02557544757033248}
Epoch 0 Metrics: {'loss': 0.664, 'grad_norm': 0.0, 'learning_rate': 0.006761295822676897, 'epoch': 0.05115089514066496}
Epoch 0 Metrics: {'loss': 0.5133, 'grad_norm': 0.0, 'learning_rate': 0.006641943734015346, 'epoch': 0.07672634271099744}
Epoch 0 Metrics: {'loss': 0.3891, 'grad_norm': 0.0, 'learning_rate': 0.006522591645353794, 'epoch': 0.10230179028132992}
Epoch 0 Metrics: {'loss': 0.3331, 'grad_norm': 0.0, 'learning_rate': 0.0064032395566922425, 'epoch': 0.1278772378516624}
Epoch 0 Metrics: {'loss': 0.3111, 'grad_norm': 0.0, 'learning_rate': 0.006283887468030691, 'epoch': 0.1534526854219949}
Epoch 0 Metrics: {'loss': 0.3238, 'grad_norm': 0.0, 'learning_rate': 0.006164535379369139, 'epoch': 0.17902813299232737}
Epoch 0 Metrics: {'loss': 0.3162, 'grad_norm': 0.0, 'learning_rate': 0.006045183290707587, 'epoch': 0.20460358056265984}
Epoch 0 Metrics: {'loss': 0.2535, 'grad_norm': 0.0, 'learning_rate': 0.0059258312020460365, 'epoch': 0.23017902813299232}
Epoch 0 Metrics: {'loss': 0.2595, 'grad_norm': 0.0, 'learning_rate': 0.005806479113384485, 'epoch': 0.2557544757033248}
Epoch 0 Metrics: {'loss': 0.2674, 'grad_norm': 0.0, 'learning_rate': 0.005687127024722933, 'epoch': 0.2813299232736573}
Epoch 0 Metrics: {'loss': 0.2811, 'grad_norm': 0.0, 'learning_rate': 0.005567774936061381, 'epoch': 0.3069053708439898}
Epoch 0 Metrics: {'loss': 0.2562, 'grad_norm': 0.0, 'learning_rate': 0.00544842284739983, 'epoch': 0.33248081841432225}
Epoch 0 Metrics: {'loss': 0.2378, 'grad_norm': 0.0, 'learning_rate': 0.005329070758738278, 'epoch': 0.35805626598465473}
Epoch 0 Metrics: {'loss': 0.2853, 'grad_norm': 0.0, 'learning_rate': 0.005209718670076727, 'epoch': 0.3836317135549872}
Epoch 0 Metrics: {'loss': 0.2551, 'grad_norm': 0.0, 'learning_rate': 0.005090366581415175, 'epoch': 0.4092071611253197}
